batch_idx,grad_type,layer,num_channels,bits_mean,bits_min,bits_max,step_mean,step_min,step_max,range_mean,grad_mean,grad_median,grad_sum,grad_abs_mean,grad_abs_max,frac_grad_positive,frac_grad_negative,frac_push_bits_up,frac_push_bits_down,sens_mean,sens_max
0,likelihood,encoder.layers.0.blocks.0.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0023071591276675463,1.767999492585659e-06,0.008278761059045792,0.5906327366828918,1.9467938727757428e-07,2.583096236907778e-11,9.967584628611803e-05,1.2989851256861584e-06,1.0983008905895986e-05,0.509765625,0.478515625,0.509765625,0.478515625,8.16873942120617e-17,8.16873809771719e-17
0,likelihood,encoder.layers.0.blocks.0.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.0023482381366193295,0.0011935443617403507,0.0043323468416929245,0.6011489629745483,9.317565854871646e-06,2.0769377442775294e-05,2.7952697564614937e-05,4.6638055209768936e-05,6.316405051620677e-05,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.3333333432674408,8.16873809771719e-17,8.16873809771719e-17
0,likelihood,encoder.layers.0.blocks.0.attention.self.query,192,8.0,8.0,8.0,0.0003026824560947716,4.990570232621394e-05,0.0007622288540005684,0.07748670876026154,-2.6006060238614737e-07,2.977897111122729e-07,-4.99316374771297e-05,2.3393682567984797e-05,0.00022162469394970685,0.515625,0.484375,0.515625,0.484375,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.attention.self.key,192,8.0,8.0,8.0,0.00029280397575348616,4.453787551028654e-05,0.00070362095721066,0.07495781779289246,1.2975692698091734e-05,5.792721822217572e-07,0.002491333056241274,4.943464955431409e-05,0.00041728338692337275,0.53125,0.46875,0.53125,0.46875,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.attention.self.value,192,8.0,8.0,8.0,0.00044552862527780235,0.00020912713080178946,0.0006918219150975347,0.1140553280711174,0.00016315355605911463,-4.9715687055140734e-05,0.031325481832027435,0.0012983459746465087,0.017488500103354454,0.4947916567325592,0.5052083134651184,0.4947916567325592,0.5052083134651184,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.attention.output.dense,192,8.0,8.0,8.0,0.00026604891172610223,3.418351843720302e-05,0.0016677903477102518,0.06810852140188217,-0.0002014206984313205,-6.4568152993160766e-06,-0.03867277503013611,0.0005301271448843181,0.012045959010720253,0.4635416567325592,0.5364583134651184,0.4635416567325592,0.5364583134651184,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.intermediate.dense,768,8.0,8.0,8.0,0.0003318783128634095,0.00012409529881551862,0.0007978231878951192,0.08496084809303284,-3.0075741506152553e-06,-4.4731777961715125e-06,-0.002309816889464855,0.0009158398606814444,0.01244229543954134,0.4908854067325592,0.5091145634651184,0.4908854067325592,0.5091145634651184,8.16874008295066e-17,8.16873809771719e-17
0,likelihood,encoder.layers.0.blocks.0.output.dense,192,8.0,8.0,8.0,0.00029870058642700315,3.959407331421971e-05,0.0012299498775973916,0.0764673501253128,-1.2782620615325868e-06,1.1182342859683558e-05,-0.00024542631581425667,0.0004964188556186855,0.008934448473155499,0.5260416865348816,0.4739583432674408,0.5260416865348816,0.4739583432674408,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.1.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.001961277797818184,2.341792537663423e-08,0.005736977327615023,0.5020871162414551,2.6325749331590487e-06,1.390226909286918e-12,0.001347878365777433,3.218284109607339e-05,0.00021675470634363592,0.505859375,0.490234375,0.505859375,0.490234375,6.923741278574237e-17,6.923740616829747e-17
0,likelihood,encoder.layers.0.blocks.1.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.002576179802417755,0.0020028473809361458,0.0034380664583295584,0.6595020294189453,-0.0002111114445142448,-0.0002465655270498246,-0.0006333343335427344,0.00022076092136558145,0.00040124301449395716,0.3333333432674408,0.6666666865348816,0.3333333432674408,0.6666666865348816,6.923740616829747e-17,6.923740616829747e-17
