batch_idx,grad_type,layer,num_channels,bits_mean,bits_min,bits_max,step_mean,range_mean,grad_mean,grad_abs_mean,grad_abs_max,frac_push_bits_up,frac_push_bits_down,sum_g_over_s,mean_g_over_s,abs_mean_g_over_s,sens_mean,sens_max
0,likelihood,encoder.layers.0.blocks.0.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0023071591276675463,0.5906327366828918,2.1871747435397992e-07,6.577961812581634e-06,6.405759631888941e-05,0.470703125,0.513671875,1.1463611125946045,0.002238986548036337,0.01808328367769718,8.16873942120617e-17,8.16873809771719e-17
0,likelihood,encoder.layers.0.blocks.0.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.0023482381366193295,0.6011489629745483,-9.466872870689258e-05,9.988038800656796e-05,0.0001742547465255484,0.3333333432674408,0.6666666865348816,-0.1679881066083908,-0.05599603429436684,0.059427421540021896,8.16873809771719e-17,8.16873809771719e-17
0,likelihood,encoder.layers.0.blocks.0.attention.self.query,192,8.0,8.0,8.0,0.0003026824560947716,0.07748670876026154,-8.966860036707658e-07,7.85853699198924e-05,0.0003420922439545393,0.5208333134651184,0.4791666567325592,-2.1336255073547363,-0.011112633161246777,0.28173646330833435,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.attention.self.key,192,8.0,8.0,8.0,0.00029280397575348616,0.07495781779289246,-8.38865616969997e-06,0.00014644530892837793,0.00106094463262707,0.4947916567325592,0.5052083134651184,-3.7212095260620117,-0.01938129961490631,0.5586797595024109,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.attention.self.value,192,8.0,8.0,8.0,0.00044552862527780235,0.1140553280711174,-0.0003056736895814538,0.0020252736285328865,0.01896502822637558,0.4947916567325592,0.5052083134651184,-228.3953857421875,-1.1895593404769897,6.096616268157959,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.attention.output.dense,192,8.0,8.0,8.0,0.00026604891172610223,0.06810852140188217,0.00014312900020740926,0.0008473927737213671,0.014721881598234177,0.5625,0.4375,126.22460174560547,0.6574198007583618,4.266338348388672,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.0.intermediate.dense,768,8.0,8.0,8.0,0.0003318783128634095,0.08496084809303284,2.6651281586964615e-05,0.0011605777544900775,0.02127489261329174,0.4934895932674408,0.5065104365348816,120.99134826660156,0.15754081308841705,4.068158149719238,8.16874008295066e-17,8.16873809771719e-17
0,likelihood,encoder.layers.0.blocks.0.output.dense,192,8.0,8.0,8.0,0.00029870058642700315,0.0764673501253128,8.774918387643993e-05,0.0007719926652498543,0.006638414692133665,0.5677083134651184,0.4322916567325592,41.245574951171875,0.21482069790363312,3.816041946411133,8.16873809771719e-17,7.041632647662071e-16
0,likelihood,encoder.layers.0.blocks.1.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.001961277797818184,0.5020871162414551,-5.135384526511189e-06,0.00010036265302915126,0.0008307843236252666,0.486328125,0.505859375,2.0797672271728516,0.004062045365571976,0.15815389156341553,6.923741278574237e-17,6.923740616829747e-17
0,likelihood,encoder.layers.0.blocks.1.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.002576179802417755,0.6595020294189453,-0.0003796169476117939,0.0005183955072425306,0.0011366389226168394,0.3333333432674408,0.6666666865348816,-0.5989277958869934,-0.1996425986289978,0.2400078922510147,6.923740616829747e-17,6.923740616829747e-17
0,likelihood,encoder.layers.0.blocks.1.attention.self.query,192,8.0,8.0,8.0,0.00040038881707005203,0.10249953716993332,-5.765223249909468e-05,0.0003173131262883544,0.0019617523066699505,0.4583333432674408,0.5416666865348816,-26.68794822692871,-0.13899973034858704,0.8073944449424744,6.923740616829747e-17,6.888737906726749e-16
0,likelihood,encoder.layers.0.blocks.1.attention.self.key,192,8.0,8.0,8.0,0.00035554892383515835,0.09102052450180054,-2.7377111564419465e-06,0.00032548452145420015,0.0026876251213252544,0.515625,0.484375,1.640726089477539,0.008545448072254658,0.9347220063209534,6.923740616829747e-17,6.888737906726749e-16
0,likelihood,encoder.layers.0.blocks.1.attention.self.value,192,8.0,8.0,8.0,0.00031839500297792256,0.08150912076234818,-0.000137554612592794,0.002119729993864894,0.012294338084757328,0.4583333432674408,0.5416666865348816,-140.7414093017578,-0.7330281734466553,7.457376480102539,6.923740616829747e-17,6.888737906726749e-16
0,likelihood,encoder.layers.0.blocks.1.attention.output.dense,192,8.0,8.0,8.0,0.0002489298058208078,0.0637260302901268,-5.8090605307370424e-05,0.0008874144405126572,0.012661321088671684,0.5208333134651184,0.4791666567325592,-77.69778442382812,-0.4046759605407715,3.340540885925293,6.923740616829747e-17,6.888737906726749e-16
0,likelihood,encoder.layers.0.blocks.1.intermediate.dense,768,8.0,8.0,8.0,0.0001059986898326315,0.027135664597153664,0.00020151289936620742,0.001089339843019843,0.022773530334234238,0.4817708432674408,0.5182291865348816,697.53857421875,0.9082533717155457,5.428743362426758,6.923741278574237e-17,6.923740616829747e-17
0,likelihood,encoder.layers.0.blocks.1.output.dense,192,8.0,8.0,8.0,0.0001490133727202192,0.038147423416376114,-2.3627799237146974e-05,0.001972477650269866,0.04461735114455223,0.5104166865348816,0.4895833432674408,-226.20587158203125,-1.178155541419983,16.29222297668457,6.923740616829747e-17,6.888737906726749e-16
0,likelihood,encoder.layers.0.blocks.2.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0014276152942329645,0.3654695153236389,-3.9559236029163e-06,3.540650868671946e-05,0.00029995536897331476,0.486328125,0.486328125,-6.7265143394470215,-0.013137723319232464,0.09186522662639618,5.4517479013732576e-17,5.4517485631177477e-17
0,likelihood,encoder.layers.0.blocks.2.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.0015643596416339278,0.4004760682582855,0.0006895901169627905,0.0008089786279015243,0.0020483091939240694,0.6666666865348816,0.3333333432674408,1.0323941707611084,0.34413138031959534,0.43223944306373596,5.4517485631177477e-17,5.4517485631177477e-17
0,likelihood,encoder.layers.0.blocks.2.attention.self.query,192,8.0,8.0,8.0,0.0003606080135796219,0.09231565147638321,-3.967759039369412e-05,0.0004951850278303027,0.0030033979564905167,0.4895833432674408,0.5104166865348816,-25.045650482177734,-0.13044609129428864,1.4519691467285156,5.4517485631177477e-17,5.401071177453564e-16
0,likelihood,encoder.layers.0.blocks.2.attention.self.key,192,8.0,8.0,8.0,0.0003348994068801403,0.08573424816131592,2.0725265130749904e-05,0.0005052401102147996,0.0024669833946973085,0.5,0.5,11.484357833862305,0.05981436371803284,1.539422631263733,5.4517485631177477e-17,5.401071177453564e-16
0,likelihood,encoder.layers.0.blocks.2.attention.self.value,192,8.0,8.0,8.0,0.0003499604936223477,0.08958988636732101,7.66408265917562e-05,0.0014371989527717233,0.006556567270308733,0.5625,0.4375,52.45759963989258,0.2732166647911072,4.319751739501953,5.4517485631177477e-17,5.401071177453564e-16
0,likelihood,encoder.layers.0.blocks.2.attention.output.dense,192,8.0,8.0,8.0,0.00023557223903480917,0.06030649319291115,1.2799752767023165e-05,0.0007819749880582094,0.007212166208773851,0.515625,0.484375,-22.59998321533203,-0.1177082434296608,3.1580333709716797,5.4517485631177477e-17,5.401071177453564e-16
0,likelihood,encoder.layers.0.blocks.2.intermediate.dense,768,8.0,8.0,8.0,7.3894792876672e-05,0.018917066976428032,0.00022623001132160425,0.0013586002169176936,0.061858613044023514,0.5260416865348816,0.4739583432674408,203.89280700683594,0.2654854357242584,5.8798675537109375,5.4517479013732576e-17,5.4517485631177477e-17
0,likelihood,encoder.layers.0.blocks.2.output.dense,192,8.0,8.0,8.0,0.00010904126247623935,0.027914563193917274,-9.332859190180898e-05,0.004974684212356806,0.04833906516432762,0.5416666865348816,0.4583333432674408,-64.8359375,-0.3376871645450592,49.96700668334961,5.4517485631177477e-17,5.401071177453564e-16
0,likelihood,encoder.layers.0.blocks.3.attention.self.continuous_position_bias_mlp.0,512,7.992613315582275,4.218050003051758,8.0,0.001980029046535492,0.5068874359130859,-5.235779099166393e-08,0.00014147056208457798,0.0008005672716535628,0.490234375,0.49609375,-24.185091018676758,-0.04723650589585304,0.24813172221183777,4.1543875716054934e-17,4.1543869098610033e-17
